State;CODE;CODE';TYPE;VDECL;VDECL';ASSIGN;RHS;EXPR;EXPR';TERM;TERM';FACTOR;FDECL;ARG;MOREARGS;BLOCK;STMT;COND;COND';ELSE;RETURN
0;;;1;;;;;;;;;;;;;;;;;;
1;3;;1;;;;;;;;;;;;;;;;;;
2;;4;;5;;;;;;;;;6;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;;;;;;;;
7;;;;;8;11;;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;13;;;;;;;
10;;;;;;;;;;;;;;;;;;;;;
11;;;;;;;;;;;;;;;;;;;;;
12;;;;;;;16;17;;21;;22;;;;;;;;;
13;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;;;;;
21;;;;;;;;;28;;;;;;;;;;;;
22;;;;;;;;;;;30;;;;;;;;;;
23;;;;;;;;32;;21;;22;;;;;;;;;
24;;;;;;;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;;;;;;;;
27;;;;;;;;;;;;;;;34;;;;;;
28;;;;;;;;;;;;;;;;;;;;;
29;;;;;;;;;;36;;22;;;;;;;;;
30;;;;;;;;;;;;;;;;;;;;;
31;;;;;;;;;;;;37;;;;;;;;;
32;;;;;;;;;;;;;;;;;;;;;
33;;;;;;42;;;;;;;;;;39;40;;;;
34;;;;;;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;;;;
36;;;;;;;;;46;;;;;;;;;;;;
37;;;;;;;;;;;47;;;;;;;;;;
38;;;;;;;;;;;;;;;;;;;;;
39;;;;;;;;;;;;;;;;;;;;;48
40;;;;;;42;;;;;;;;;;50;40;;;;
41;;;;51;;;;;;;;;;;;;;;;;
42;;;;;;;;;;;;;;;;;;;;;
43;;;;;;;;;;;;;;;;;;;;;
44;;;;;;;;;;;;;;;;;;;;;
45;;;;;;;;;;;;;;;;;;;;;
46;;;;;;;;;;;;;;;;;;;;;
47;;;;;;;;;;;;;;;;;;;;;
48;;;;;;;;;;;;;;;;;;;;;
49;;;;;;;58;17;;21;;22;;;;;;;;;
50;;;;;;;;;;;;;;;;;;;;;
51;;;;;;;;;;;;;;;;;;;;;
52;;;;;8;11;;;;;;;;;;;;;;;
53;;;;;;;;;;;;;;;;;;;;;
54;;;;;;;;;;;;;;;;;;59;;;
55;;;;;;;;;;;;;;;;;;61;;;
56;;;;;;;;;;;;;;;62;;;;;;
57;;;;;;;;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;;;;;;;;
59;;;;;;;;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;;;;;;65;;
61;;;;;;;;;;;;;;;;;;;;;
62;;;;;;;;;;;;;;;;;;;;;
63;;;;;;;;;;;;;;;;;;;;;
64;;;;;;;;;;;;;;;;;;;;;
65;;;;;;;;;;;;;;;;;;;;;
66;;;;;;;;;;;;;;;;;;69;;;
67;;;;;;;;;;;;;;;;;;;;;
68;;;;;;42;;;;;;;;;;71;40;;;;
69;;;;;;;;;;;;;;;;;;;;;
70;;;;;;42;;;;;;;;;;72;40;;;;
71;;;;;;;;;;;;;;;;;;;;;
72;;;;;;;;;;;;;;;;;;;;;
73;;;;;;;;;;;;;;;;;;;;75;
74;;;;;;;;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;;;;;;;;
77;;;;;;42;;;;;;;;;;78;40;;;;
78;;;;;;;;;;;;;;;;;;;;;
79;;;;;;;;;;;;;;;;;;;;;
