Goto;Kernel;State;Closure
;{CODE -> .VDECL CODE};0;"{CODE -> .VDECL CODE; VDECL -> .vtype id semi; VDECL -> .vtype ASSIGN semi}"
goto(0, VDECL);{CODE -> VDECL.CODE};1;"{CODE -> VDECL.CODE; CODE -> .VDECL CODE; CODE -> .FDECL CODE; CODE -> .; VDECL -> .vtype id semi; VDECL -> .vtype ASSIGN semi; FDECL -> .vtype id lparen ARG rparen lbrace BLOCK RETURN rbrace}"
goto(0, vtype);"{VDECL -> vtype.id semi; VDECL -> vtype.ASSIGN semi}";2;"{VDECL -> vtype.id semi; VDECL -> vtype.ASSIGN semi; ASSIGN -> .id assign RHS}"
goto(1, CODE);{CODE -> VDECL CODE.};3;{CODE -> VDECL CODE.}
goto(1, VDECL);{CODE -> VDECL.CODE};1;
goto(1, FDECL);{CODE -> FDECL.CODE};4;"{CODE -> FDECL.CODE; CODE -> .VDECL CODE; CODE -> .FDECL CODE; CODE -> .; VDECL -> .vtype id semi; VDECL -> .vtype ASSIGN semi; FDECL -> .vtype id lparen ARG rparen lbrace BLOCK RETURN rbrace}"
goto(1, vtype);"{VDECL -> vtype.id semi; VDECL -> vtype.ASSIGN semi; FDECL -> vtype.id lparen ARG rparen lbrace BLOCK RETURN rbrace}";5;"{VDECL -> vtype.id semi; VDECL -> vtype.ASSIGN semi; FDECL -> vtype.id lparen ARG rparen lbrace BLOCK RETURN rbrace; ASSIGN -> .id assign RHS}"
goto(2, id);"{VDECL -> vtype id.semi; ASSIGN -> id.assign RHS}";6;"{VDECL -> vtype id.semi; ASSIGN -> id.assign RHS}"
goto(2, ASSIGN);{VDECL -> vtype ASSIGN.semi};7;{VDECL -> vtype ASSIGN.semi}
goto(4, CODE);{CODE -> FDECL CODE.};8;{CODE -> FDECL CODE.}
goto(4, VDECL);{CODE -> VDECL.CODE};1;
goto(4, FDECL);{CODE -> FDECL.CODE};4;
